Local Authority,Attribute,Financial Year,Sum of Value
Wyre Borough Council,Household - civic amenity sites (not recycled) (tonnes),2016,0
Wyre Borough Council,Household - civic amenity sites (not recycled) (tonnes),2017,0
Wyre Borough Council,Household - civic amenity sites (not recycled) (tonnes),2018,0
Wyre Borough Council,Household - civic amenity sites (not recycled) (tonnes),2019,0
Wyre Borough Council,Household - civic amenity sites (not recycled) (tonnes),2020,0
Wyre Borough Council,Household - civic amenity sites (not recycled) (tonnes),2021,0
Wyre Borough Council,Household - civic amenity sites (not recycled) (tonnes),2022,0
Wyre Borough Council,Household - civic amenity sites (not recycled) (tonnes),2023,0
Wyre Borough Council,Household - estimated rejects (tonnes),2014,69
Wyre Borough Council,Household - estimated rejects (tonnes),2015,557
Wyre Borough Council,Household - estimated rejects (tonnes),2016,629
Wyre Borough Council,Household - estimated rejects (tonnes),2017,980
Wyre Borough Council,Household - estimated rejects (tonnes),2018,951
Wyre Borough Council,Household - estimated rejects (tonnes),2019,433
Wyre Borough Council,Household - estimated rejects (tonnes),2020,646
Wyre Borough Council,Household - estimated rejects (tonnes),2021,717
Wyre Borough Council,Household - estimated rejects (tonnes),2022,1139
Wyre Borough Council,Household - estimated rejects (tonnes),2023,963
Wyre Borough Council,Household - other sources (not recycled) (tonnes),2014,1798
Wyre Borough Council,Household - other sources (not recycled) (tonnes),2015,1894
Wyre Borough Council,Household - other sources (not recycled) (tonnes),2016,2155
Wyre Borough Council,Household - other sources (not recycled) (tonnes),2017,2139
Wyre Borough Council,Household - other sources (not recycled) (tonnes),2018,2048
Wyre Borough Council,Household - other sources (not recycled) (tonnes),2019,2152
Wyre Borough Council,Household - other sources (not recycled) (tonnes),2020,2083
Wyre Borough Council,Household - other sources (not recycled) (tonnes),2021,2030
Wyre Borough Council,Household - other sources (not recycled) (tonnes),2022,2094
Wyre Borough Council,Household - other sources (not recycled) (tonnes),2023,2305
Wyre Borough Council,Household - regular collection (not recycled) (tonnes),2014,19098
Wyre Borough Council,Household - regular collection (not recycled) (tonnes),2015,18938
Wyre Borough Council,Household - regular collection (not recycled) (tonnes),2016,20415
Wyre Borough Council,Household - regular collection (not recycled) (tonnes),2017,20705
Wyre Borough Council,Household - regular collection (not recycled) (tonnes),2018,20463
Wyre Borough Council,Household - regular collection (not recycled) (tonnes),2019,20094
Wyre Borough Council,Household - regular collection (not recycled) (tonnes),2020,22826
Wyre Borough Council,Household - regular collection (not recycled) (tonnes),2021,21166
Wyre Borough Council,Household - regular collection (not recycled) (tonnes),2022,22181
Wyre Borough Council,Household - regular collection (not recycled) (tonnes),2023,21269
Wyre Borough Council,Household - total waste (tonnes),2014,42878
Wyre Borough Council,Household - total waste (tonnes),2015,44024
Wyre Borough Council,Household - total waste (tonnes),2016,42070
Wyre Borough Council,Household - total waste (tonnes),2017,41746
Wyre Borough Council,Household - total waste (tonnes),2018,41286
Wyre Borough Council,Household - total waste (tonnes),2019,41730
Wyre Borough Council,Household - total waste (tonnes),2020,46059
Wyre Borough Council,Household - total waste (tonnes),2021,44030
Wyre Borough Council,Household - total waste (tonnes),2022,42576
Wyre Borough Council,Household - total waste (tonnes),2023,42499
Wyre Borough Council,Household - waste not sent for recycling (tonnes),2014,20965
Wyre Borough Council,Household - waste not sent for recycling (tonnes),2015,21389
Wyre Borough Council,Household - waste not sent for recycling (tonnes),2016,23198
Wyre Borough Council,Household - waste not sent for recycling (tonnes),2017,23824
Wyre Borough Council,Household - waste not sent for recycling (tonnes),2018,23461
Wyre Borough Council,Household - waste not sent for recycling (tonnes),2019,22679
Wyre Borough Council,Household - waste not sent for recycling (tonnes),2020,25554
Wyre Borough Council,Household - waste not sent for recycling (tonnes),2021,23912
Wyre Borough Council,Household - waste not sent for recycling (tonnes),2022,25414
Wyre Borough Council,Household - waste not sent for recycling (tonnes),2023,24537
Wyre Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2014,21913
Wyre Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2015,22635
Wyre Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2016,18872
Wyre Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2017,17922
Wyre Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2018,17824
Wyre Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2019,19050
Wyre Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2020,20505
Wyre Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2021,20119
Wyre Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2022,17161
Wyre Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2023,17962
Wyre Borough Council,Household dry recycling-reuse (tonnes),2014,10869
Wyre Borough Council,Household dry recycling-reuse (tonnes),2015,11032
Wyre Borough Council,Household dry recycling-reuse (tonnes),2016,10921
Wyre Borough Council,Household dry recycling-reuse (tonnes),2017,10205
Wyre Borough Council,Household dry recycling-reuse (tonnes),2018,10098
Wyre Borough Council,Household dry recycling-reuse (tonnes),2019,10756
Wyre Borough Council,Household dry recycling-reuse (tonnes),2020,11865
Wyre Borough Council,Household dry recycling-reuse (tonnes),2021,12367
Wyre Borough Council,Household dry recycling-reuse (tonnes),2022,9486
Wyre Borough Council,Household dry recycling-reuse (tonnes),2023,9695
Wyre Borough Council,Household green recycling-reuse (tonnes),2014,11044
Wyre Borough Council,Household green recycling-reuse (tonnes),2015,11603
Wyre Borough Council,Household green recycling-reuse (tonnes),2016,7951
Wyre Borough Council,Household green recycling-reuse (tonnes),2017,7717
Wyre Borough Council,Household green recycling-reuse (tonnes),2018,7726
Wyre Borough Council,Household green recycling-reuse (tonnes),2019,8294
Wyre Borough Council,Household green recycling-reuse (tonnes),2020,8640
Wyre Borough Council,Household green recycling-reuse (tonnes),2021,7752
Wyre Borough Council,Household green recycling-reuse (tonnes),2022,7676
Wyre Borough Council,Household green recycling-reuse (tonnes),2023,8267
Wyre Borough Council,Local authority collected - estimated rejects (tonnes),2014,69
Wyre Borough Council,Local authority collected - estimated rejects (tonnes),2015,557
Wyre Borough Council,Local authority collected - estimated rejects (tonnes),2016,629
Wyre Borough Council,Local authority collected - estimated rejects (tonnes),2017,980
Wyre Borough Council,Local authority collected - estimated rejects (tonnes),2018,951
Wyre Borough Council,Local authority collected - estimated rejects (tonnes),2019,433
Wyre Borough Council,Local authority collected - estimated rejects (tonnes),2020,646
Wyre Borough Council,Local authority collected - estimated rejects (tonnes),2021,717
Wyre Borough Council,Local authority collected - estimated rejects (tonnes),2022,1139
Wyre Borough Council,Local authority collected - estimated rejects (tonnes),2023,963
Wyre Borough Council,Local authority collected waste - not sent for recycling (tonnes),2014,21312
Wyre Borough Council,Local authority collected waste - not sent for recycling (tonnes),2015,21797
Wyre Borough Council,Local authority collected waste - not sent for recycling (tonnes),2016,23609
Wyre Borough Council,Local authority collected waste - not sent for recycling (tonnes),2017,24175
Wyre Borough Council,Local authority collected waste - not sent for recycling (tonnes),2018,23770
Wyre Borough Council,Local authority collected waste - not sent for recycling (tonnes),2019,22945
Wyre Borough Council,Local authority collected waste - not sent for recycling (tonnes),2020,25832
Wyre Borough Council,Local authority collected waste - not sent for recycling (tonnes),2021,24187
Wyre Borough Council,Local authority collected waste - not sent for recycling (tonnes),2022,25817
Wyre Borough Council,Local authority collected waste - not sent for recycling (tonnes),2023,24889
Wyre Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2014,21913
Wyre Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2015,22635
Wyre Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2016,18882
Wyre Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2017,17922
Wyre Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2018,17831
Wyre Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2019,19073
Wyre Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2020,20531
Wyre Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2021,20152
Wyre Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2022,17176
